Exercise,DifficultyLevel,TargetMuscleGroup,PrimaryEquipment,#PrimaryItems,SecondaryEquipment,#SecondaryItems,BodyRegion,ForceType,PrimaryExerciseClassification
Slider Single Arm Kettlebell Suitcase Contralateral Curtsy Lunge,Novice,Quadriceps,Sliders,1.0,Kettlebell,1.0,Lower Body,Push,Bodybuilding
Slider Single Arm Kettlebell Overhead Contralateral Curtsy Lunge,Intermediate,Quadriceps,Sliders,1.0,Kettlebell,1.0,Lower Body,Push,Bodybuilding
Slider Single Arm Kettlebell Bottoms Up Overhead Contralateral Curtsy Lunge,Advanced,Quadriceps,Sliders,1.0,Kettlebell,1.0,Lower Body,Push,Bodybuilding
Slider Single Arm Kettlebell Bottoms Up Front Rack Contralateral Curtsy Lunge,Intermediate,Quadriceps,Sliders,1.0,Kettlebell,1.0,Lower Body,Push,Bodybuilding
Slider Double Dumbbell Front Rack Curtsy Lunge,Novice,Quadriceps,Sliders,1.0,Dumbbell,2.0,Lower Body,Push,Bodybuilding
Slider Double Dumbbell Suitcase Curtsy Lunge,Novice,Quadriceps,Sliders,1.0,Dumbbell,2.0,Lower Body,Push,Bodybuilding
Slider Double Dumbbell Overhead Curtsy Lunge,Intermediate,Quadriceps,Sliders,1.0,Dumbbell,2.0,Lower Body,Push,Bodybuilding
Slider Single Arm Dumbbell Front Rack Contralateral Curtsy Lunge,Novice,Quadriceps,Sliders,1.0,Dumbbell,1.0,Lower Body,Push,Bodybuilding
Slider Single Arm Dumbbell Suitcase Contralateral Curtsy Lunge,Novice,Quadriceps,Sliders,1.0,Dumbbell,1.0,Lower Body,Push,Bodybuilding
Slider Single Arm Dumbbell Overhead Contralateral Curtsy Lunge,Intermediate,Quadriceps,Sliders,1.0,Dumbbell,1.0,Lower Body,Push,Bodybuilding
Slider Dumbbell Goblet Curtsy Lunge,Novice,Quadriceps,Sliders,1.0,Dumbbell,1.0,Lower Body,Push,Bodybuilding
Slider Kettlebell Horn Grip Curtsy Lunge,Novice,Quadriceps,Sliders,1.0,Kettlebell,1.0,Lower Body,Push,Bodybuilding
Slider Kettlebell Goblet Curtsy Lunge,Novice,Quadriceps,Sliders,1.0,Kettlebell,1.0,Lower Body,Push,Bodybuilding
Slider Clubbell Order Curtsy Lunge,Novice,Quadriceps,Sliders,1.0,Clubbell,1.0,Lower Body,Push,Bodybuilding
Slider Double Clubbell Order Curtsy Lunge,Novice,Quadriceps,Sliders,1.0,Clubbell,2.0,Lower Body,Push,Bodybuilding
Slider Single Arm Clubbell Order Contralateral Curtsy Lunge,Novice,Quadriceps,Sliders,1.0,Clubbell,1.0,Lower Body,Push,Bodybuilding
Slider Macebell Order Curtsy Lunge,Novice,Quadriceps,Sliders,1.0,Macebell,1.0,Lower Body,Push,Bodybuilding
Slider Single Arm Macebell Order Contralateral Curtsy Lunge,Novice,Quadriceps,Sliders,1.0,Macebell,1.0,Lower Body,Push,Bodybuilding
Slider Curtsy Lunge,Beginner,Quadriceps,Sliders,1.0,,0.0,Lower Body,Push,Calisthenics
Slider Plate Overhead Curtsy Lunge,Intermediate,Quadriceps,Sliders,1.0,Weight Plate,1.0,Lower Body,Push,Bodybuilding
Slider Sandbag Front Rack Curtsy Lunge,Novice,Quadriceps,Sliders,1.0,Sandbag,1.0,Lower Body,Push,Bodybuilding
Slider Sandbag Back Rack Curtsy Lunge,Novice,Quadriceps,Sliders,1.0,Sandbag,1.0,Lower Body,Push,Bodybuilding
Slider Single Arm Kettlebell Front Rack Ipsilateral Curtsy Lunge,Novice,Quadriceps,Sliders,1.0,Kettlebell,1.0,Lower Body,Push,Bodybuilding
Slider Single Arm Kettlebell Suitcase Ipsilateral Curtsy Lunge,Novice,Quadriceps,Sliders,1.0,Kettlebell,1.0,Lower Body,Push,Bodybuilding
Slider Single Arm Kettlebell Overhead Ipsilateral Curtsy Lunge,Intermediate,Quadriceps,Sliders,1.0,Kettlebell,1.0,Lower Body,Push,Bodybuilding
Slider Single Arm Kettlebell Bottoms Up Overhead Ipsilateral Curtsy Lunge,Advanced,Quadriceps,Sliders,1.0,Kettlebell,1.0,Lower Body,Push,Bodybuilding
Slider Single Arm Kettlebell Bottoms Up Front Rack Ipsilateral Curtsy Lunge,Intermediate,Quadriceps,Sliders,1.0,Kettlebell,1.0,Lower Body,Push,Bodybuilding
Slider Single Arm Dumbbell Front Rack Ipsilateral Curtsy Lunge,Novice,Quadriceps,Sliders,1.0,Dumbbell,1.0,Lower Body,Push,Bodybuilding
Slider Single Arm Dumbbell Suitcase Ipsilateral Curtsy Lunge,Novice,Quadriceps,Sliders,1.0,Dumbbell,1.0,Lower Body,Push,Bodybuilding
Slider Single Arm Dumbbell Overhead Ipsilateral Curtsy Lunge,Intermediate,Quadriceps,Sliders,1.0,Dumbbell,1.0,Lower Body,Push,Bodybuilding
Slider Single Arm Clubbell Order Ipsilateral Curtsy Lunge,Novice,Quadriceps,Sliders,1.0,Clubbell,1.0,Lower Body,Push,Bodybuilding
Slider Single Arm Macebell Order Ipsilateral Curtsy Lunge,Novice,Quadriceps,Sliders,1.0,Macebell,1.0,Lower Body,Push,Bodybuilding
Kettlebell Goblet Cyclist Squat,Novice,Quadriceps,Kettlebell,1.0,Slant Board,1.0,Lower Body,Push,Bodybuilding
Kettlebell Goblet Knee Over Toe Split Squat,Novice,Quadriceps,Kettlebell,1.0,,0.0,Lower Body,Push,Bodybuilding
Kettlebell Goblet Foot Elevated Knee Over Toe Split Squat,Novice,Quadriceps,Kettlebell,1.0,,0.0,Lower Body,Push,Bodybuilding
Dumbbell Goblet Walking Lunge,Novice,Quadriceps,Dumbbell,1.0,,0.0,Lower Body,Push,Bodybuilding
Ring Maltese,Grand Master,Abdominals,Gymnastic Rings,2.0,,0.0,Unsorted*,Other,Calisthenics
Barbell Front Rack Curtsy Lunge,Intermediate,Quadriceps,Barbell,1.0,,0.0,Lower Body,Push,Bodybuilding
Double Kettlebell Front Rack Curtsy Lunge,Novice,Quadriceps,Kettlebell,2.0,,0.0,Lower Body,Push,Bodybuilding
Suspension Curtsy Lunge,Novice,Quadriceps,Suspension Trainer,1.0,,0.0,Lower Body,Push,Bodybuilding
Barbell Overhead Curtsy Lunge,Advanced,Quadriceps,Barbell,1.0,,0.0,Lower Body,Push,Bodybuilding
Barbell Back Rack Curtsy Lunge,Intermediate,Quadriceps,Barbell,1.0,,0.0,Lower Body,Push,Bodybuilding
Barbell Zercher Curtsy Lunge,Advanced,Quadriceps,Barbell,1.0,,0.0,Lower Body,Push,Bodybuilding
Double Kettlebell Suitcase Curtsy Lunge,Novice,Quadriceps,Kettlebell,2.0,,0.0,Lower Body,Push,Bodybuilding
Double Kettlebell Overhead Curtsy Lunge,Intermediate,Quadriceps,Kettlebell,2.0,,0.0,Lower Body,Push,Bodybuilding
Double Kettlebell Bottoms Up Front Rack Curtsy Lunge,Intermediate,Quadriceps,Kettlebell,2.0,,0.0,Lower Body,Push,Bodybuilding
Double Kettlebell Bottoms Up Overhead Curtsy Lunge,Advanced,Quadriceps,Kettlebell,2.0,,0.0,Lower Body,Push,Bodybuilding
Single Arm Kettlebell Front Rack Contralateral Curtsy Lunge,Novice,Quadriceps,Kettlebell,1.0,,0.0,Lower Body,Push,Bodybuilding
Single Arm Kettlebell Suitcase Contralateral Curtsy Lunge,Novice,Quadriceps,Kettlebell,1.0,,0.0,Lower Body,Push,Bodybuilding
Single Arm Kettlebell Overhead Contralateral Curtsy Lunge,Intermediate,Quadriceps,Kettlebell,1.0,,0.0,Lower Body,Push,Bodybuilding
Single Arm Kettlebell Bottoms Up Overhead Contralateral Curtsy Lunge,Advanced,Quadriceps,Kettlebell,1.0,,0.0,Lower Body,Push,Bodybuilding
Single Arm Kettlebell Bottoms Up Front Rack Contralateral Curtsy Lunge,Intermediate,Quadriceps,Kettlebell,1.0,,0.0,Lower Body,Push,Bodybuilding
Double Dumbbell Front Rack Curtsy Lunge,Novice,Quadriceps,Dumbbell,2.0,,0.0,Lower Body,Push,Bodybuilding
Double Dumbbell Suitcase Curtsy Lunge,Novice,Quadriceps,Dumbbell,2.0,,0.0,Lower Body,Push,Bodybuilding
Double Dumbbell Overhead Curtsy Lunge,Intermediate,Quadriceps,Dumbbell,2.0,,0.0,Lower Body,Push,Bodybuilding
Single Arm Dumbbell Front Rack Contralateral Curtsy Lunge,Novice,Quadriceps,Dumbbell,1.0,,0.0,Lower Body,Push,Bodybuilding
Single Arm Dumbbell Suitcase Contralateral Curtsy Lunge,Novice,Quadriceps,Dumbbell,1.0,,0.0,Lower Body,Push,Bodybuilding
Single Arm Dumbbell Overhead Contralateral Curtsy Lunge,Intermediate,Quadriceps,Dumbbell,1.0,,0.0,Lower Body,Push,Bodybuilding
Dumbbell Goblet Curtsy Lunge,Novice,Quadriceps,Dumbbell,1.0,,0.0,Lower Body,Push,Bodybuilding
Kettlebell Horn Grip Curtsy Lunge,Novice,Quadriceps,Kettlebell,1.0,,0.0,Lower Body,Push,Bodybuilding
Kettlebell Goblet Curtsy Lunge,Novice,Quadriceps,Kettlebell,1.0,,0.0,Lower Body,Push,Bodybuilding
Clubbell Order Curtsy Lunge,Novice,Quadriceps,Clubbell,1.0,,0.0,Lower Body,Push,Bodybuilding
Double Clubbell Order Curtsy Lunge,Novice,Quadriceps,Clubbell,2.0,,0.0,Lower Body,Push,Bodybuilding
Single Arm Clubbell Order Contralateral Curtsy Lunge,Novice,Quadriceps,Clubbell,1.0,,0.0,Lower Body,Push,Bodybuilding
Macebell Order Curtsy Lunge,Novice,Quadriceps,Macebell,1.0,,0.0,Lower Body,Push,Bodybuilding
Bodyweight Curtsy Lunge,Beginner,Quadriceps,Bodyweight,1.0,,0.0,Lower Body,Push,Calisthenics
Plate Overhead Curtsy Lunge,Intermediate,Quadriceps,Weight Plate,1.0,,0.0,Lower Body,Push,Bodybuilding
Sandbag Front Rack Curtsy Lunge,Novice,Quadriceps,Sandbag,1.0,,0.0,Lower Body,Push,Bodybuilding
Sandbag Back Rack Curtsy Lunge,Novice,Quadriceps,Sandbag,1.0,,0.0,Lower Body,Push,Bodybuilding
Single Arm Kettlebell Front Rack Ipsilateral Curtsy Lunge,Novice,Quadriceps,Kettlebell,1.0,,0.0,Lower Body,Push,Bodybuilding
Single Arm Kettlebell Suitcase Ipsilateral Curtsy Lunge,Novice,Quadriceps,Kettlebell,1.0,,0.0,Lower Body,Push,Bodybuilding
Single Arm Kettlebell Overhead Ipsilateral Curtsy Lunge,Intermediate,Quadriceps,Kettlebell,1.0,,0.0,Lower Body,Push,Bodybuilding
Single Arm Kettlebell Bottoms Up Overhead Ipsilateral Curtsy Lunge,Advanced,Quadriceps,Kettlebell,1.0,,0.0,Lower Body,Push,Bodybuilding
Single Arm Kettlebell Bottoms Up Front Rack Ipsilateral Curtsy Lunge,Intermediate,Quadriceps,Kettlebell,1.0,,0.0,Lower Body,Push,Bodybuilding
Single Arm Dumbbell Front Rack Ipsilateral Curtsy Lunge,Novice,Quadriceps,Dumbbell,1.0,,0.0,Lower Body,Push,Bodybuilding
Single Arm Dumbbell Suitcase Ipsilateral Curtsy Lunge,Novice,Quadriceps,Dumbbell,1.0,,0.0,Lower Body,Push,Bodybuilding
Single Arm Dumbbell Overhead Ipsilateral Curtsy Lunge,Intermediate,Quadriceps,Dumbbell,1.0,,0.0,Lower Body,Push,Bodybuilding
Single Arm Clubbell Order Ipsilateral Curtsy Lunge,Novice,Quadriceps,Clubbell,1.0,,0.0,Lower Body,Push,Bodybuilding
Ring Archer Pull Up,Advanced,Back,Gymnastic Rings,2.0,,0.0,Upper Body,Pull,Calisthenics
Barbell Single Leg Bent Knee Bicep Curl,Advanced,Biceps,Barbell,1.0,,0.0,Upper Body,Pull,Bodybuilding
Bodyweight Freestanding Handstand,Advanced,Shoulders,Bodyweight,1.0,,0.0,Upper Body,Other,Calisthenics
Bodyweight Wall Eccentric Straddle Press Handstand,Advanced,Shoulders,Bodyweight,1.0,,0.0,Upper Body,Push,Calisthenics
Kettlebell Horn Grip Carry,Novice,Abdominals,Kettlebell,1.0,,0.0,Full Body,Other,Unsorted*
Kettlebell Goblet Carry,Novice,Abdominals,Kettlebell,1.0,,0.0,Full Body,Other,Unsorted*
Dumbbell Goblet Carry,Novice,Abdominals,Dumbbell,1.0,,0.0,Full Body,Other,Unsorted*
Single Arm Ring Feet Elevated Row,Advanced,Back,Gymnastic Rings,1.0,Bench (Flat),1.0,Upper Body,Pull,Calisthenics
Double Kettlebell Dead Snatch,Intermediate,Glutes,Kettlebell,2.0,,0.0,Full Body,Unsorted*,Ballistics
Single Arm Kettlebell Dead Half Snatch,Intermediate,Glutes,Kettlebell,1.0,,0.0,Full Body,Unsorted*,Ballistics
Alternating Single Arm Kettlebell Dead Half Snatch,Intermediate,Glutes,Kettlebell,1.0,,0.0,Full Body,Unsorted*,Ballistics
Alternating Single Arm Kettlebell Start Stop Snatch,Intermediate,Glutes,Kettlebell,1.0,,0.0,Full Body,Unsorted*,Ballistics
Single Arm Kettlebell Start Stop Snatch,Intermediate,Glutes,Kettlebell,1.0,,0.0,Full Body,Unsorted*,Ballistics
Double Kettlebell Start Stop Snatch,Intermediate,Glutes,Kettlebell,2.0,,0.0,Full Body,Unsorted*,Ballistics
Single Arm Kettlebell Start Stop Swing,Novice,Glutes,Kettlebell,1.0,,0.0,Full Body,Unsorted*,Ballistics
Alternating Single Arm Kettlebell Start Stop Swing,Novice,Glutes,Kettlebell,1.0,,0.0,Full Body,Unsorted*,Ballistics
Double Kettlebell Start Stop Swing,Novice,Glutes,Kettlebell,2.0,,0.0,Full Body,Unsorted*,Ballistics
Ring L Sit Pull Up,Advanced,Back,Gymnastic Rings,2.0,,0.0,Upper Body,Pull,Calisthenics
Suspension Skater Jump,Intermediate,Abductors,Suspension Trainer,1.0,,0.0,Lower Body,Push,Plyometric
Double Kettlebell Start Stop Clean,Intermediate,Glutes,Kettlebell,2.0,,0.0,Full Body,Unsorted*,Ballistics
Single Arm Kettlebell Start Stop Clean,Intermediate,Glutes,Kettlebell,1.0,,0.0,Full Body,Unsorted*,Ballistics
Alternating Single Arm Kettlebell Start Stop Clean,Intermediate,Glutes,Kettlebell,1.0,,0.0,Full Body,Unsorted*,Ballistics
Clubbell Staggered Stance Rotational Swing,Intermediate,Abdominals,Clubbell,1.0,,0.0,Full Body,Other,Unsorted*
Clubbell Staggered Stance Rotational Clean,Intermediate,Abdominals,Clubbell,1.0,,0.0,Full Body,Other,Unsorted*
Clubbell Staggered Stance Rotational Clean to Forward Lunge,Advanced,Quadriceps,Clubbell,1.0,,0.0,Full Body,Other,Unsorted*
Ring Bulgarian Pull Up,Advanced,Back,Gymnastic Rings,2.0,,0.0,Upper Body,Pull,Calisthenics
Ring Bulgarian L Sit Pull Up,Advanced,Back,Gymnastic Rings,2.0,,0.0,Upper Body,Pull,Calisthenics
Single Arm Landmine Split Snatch,Advanced,Shoulders,Landmine,1.0,,0.0,Full Body,Unsorted*,Unsorted*
Double Dumbbell Hang Power Clean,Intermediate,Glutes,Dumbbell,2.0,,0.0,Full Body,Unsorted*,Ballistics
Single Arm Barbell Bicep Curl,Advanced,Biceps,Barbell,1.0,,0.0,Upper Body,Pull,Bodybuilding
Ring False Grip Pull Up,Advanced,Back,Gymnastic Rings,2.0,,0.0,Upper Body,Pull,Calisthenics
Slider Kettlebell Goblet Lateral Lunge,Novice,Quadriceps,Sliders,1.0,Kettlebell,1.0,Lower Body,Other,Bodybuilding
Ring Feet Elevated Pike Push Up,Advanced,Shoulders,Gymnastic Rings,2.0,Bench (Flat),1.0,Upper Body,Push,Calisthenics
Single Arm Landmine Split Clean,Advanced,Quadriceps,Landmine,1.0,,0.0,Full Body,Unsorted*,Unsorted*
Double Dumbbell Squat Clean,Intermediate,Quadriceps,Dumbbell,2.0,,0.0,Full Body,Unsorted*,Ballistics
Double Dumbbell Hang Squat Clean,Intermediate,Quadriceps,Dumbbell,2.0,,0.0,Full Body,Unsorted*,Ballistics
Single Arm Landmine Split Jerk,Advanced,Shoulders,Landmine,1.0,,0.0,Full Body,Unsorted*,Unsorted*
Single Arm Kettlebell Ipsilateral Forward Lunge Snatch,Advanced,Quadriceps,Kettlebell,1.0,,0.0,Full Body,Unsorted*,Ballistics
Clubbell Hammer Swing,Intermediate,Abdominals,Clubbell,1.0,,0.0,Full Body,Unsorted*,Ballistics
Single Arm Clubbell Hammer Swing,Intermediate,Abdominals,Clubbell,1.0,,0.0,Full Body,Unsorted*,Ballistics
Double Clubbell Hammer Swing,Intermediate,Abdominals,Clubbell,2.0,,0.0,Full Body,Unsorted*,Ballistics
Ring Tuck Back Lever with Alternating Single Leg Extensions,Advanced,Abdominals,Gymnastic Rings,2.0,,0.0,Upper Body,Other,Calisthenics
Ring Tuck Front Lever with Alternating Single Leg Extensions,Advanced,Abdominals,Gymnastic Rings,2.0,,0.0,Upper Body,Other,Calisthenics
Barbell Split Clean,Expert,Glutes,Barbell,1.0,,0.0,Full Body,Unsorted*,Olympic Weightlifting
Double Dumbbell Hang Split Clean,Intermediate,Quadriceps,Dumbbell,2.0,,0.0,Full Body,Unsorted*,Ballistics
Ring Archer Push Up,Advanced,Chest,Gymnastic Rings,2.0,,0.0,Upper Body,Push,Calisthenics
Wall Ball Half Kneeling Lateral Toss,Novice,Abdominals,Wall Ball,1.0,,0.0,Midsection,Other,Unsorted*
Wall Ball Split Squat Isometric Lateral Toss,Intermediate,Abdominals,Wall Ball,1.0,,0.0,Midsection,Other,Unsorted*
Superband Assisted Bar Muscle Up,Advanced,Back,Superband,1.0,Pull Up Bar,1.0,Upper Body,Push & Pull,Calisthenics
Parallette Push Up to L Sit,Advanced,Chest,Parallette Bars,2.0,,0.0,Upper Body,Push,Calisthenics
Single Arm Barbell Bent Press,Advanced,Shoulders,Barbell,1.0,,0.0,Upper Body,Push,Grinds
Single Arm Kettlebell Bottoms Up Sots Press,Advanced,Shoulders,Kettlebell,1.0,,0.0,Upper Body,Push,Bodybuilding
Double Kettlebell Bottoms Up Sots Press,Advanced,Shoulders,Kettlebell,2.0,,0.0,Upper Body,Push,Bodybuilding
Alternating Double Kettlebell Bottoms Up Sots Press,Advanced,Shoulders,Kettlebell,2.0,,0.0,Upper Body,Push,Bodybuilding
Double Kettlebell Bottoms Up Seesaw Sots Press,Advanced,Shoulders,Kettlebell,2.0,,0.0,Upper Body,Push,Bodybuilding
Single Arm Kettlebell Half Kneeling Half Snatch,Intermediate,Glutes,Kettlebell,1.0,,0.0,Full Body,Unsorted*,Ballistics
Ring Alternating Reach Push Up,Advanced,Chest,Gymnastic Rings,2.0,,0.0,Upper Body,Push,Calisthenics
Double Kettlebell Outside Snatch,Intermediate,Glutes,Kettlebell,2.0,,0.0,Full Body,Unsorted*,Ballistics
Single Arm Kettlebell Outside Half Snatch,Intermediate,Glutes,Kettlebell,1.0,,0.0,Full Body,Unsorted*,Ballistics
Single Arm Kettlebell Outside Snatch,Intermediate,Glutes,Kettlebell,1.0,,0.0,Full Body,Unsorted*,Ballistics
Ring L Sit Dips,Advanced,Triceps,Gymnastic Rings,2.0,,0.0,Upper Body,Push,Calisthenics
Double Kettlebell Bottoms Up Single Leg Standing Bent Knee Overhead Press,Advanced,Shoulders,Kettlebell,2.0,,0.0,Upper Body,Push,Balance
Single Arm Kettlebell Bottoms Up Single Leg Standing Bent Knee Contralateral Overhead Press,Advanced,Shoulders,Kettlebell,1.0,,0.0,Upper Body,Push,Balance
Single Ring Chin Up,Advanced,Biceps,Gymnastic Rings,1.0,,0.0,Upper Body,Pull,Calisthenics
Single Arm Suspension Single Leg Standing Bent Knee Contralateral Low Row,Advanced,Back,Suspension Trainer,1.0,,0.0,Upper Body,Pull,Balance
Single Arm Suspension Single Leg Standing Bent Knee Ipsilateral Low Row,Advanced,Back,Suspension Trainer,1.0,,0.0,Upper Body,Pull,Balance
Single Arm Suspension Single Leg Standing Bent Knee Contralateral Bicep Curl,Advanced,Biceps,Suspension Trainer,1.0,,0.0,Upper Body,Pull,Balance
Single Arm Suspension Single Leg Standing Bent Knee Ipsilateral Bicep Curl,Advanced,Biceps,Suspension Trainer,1.0,,0.0,Upper Body,Pull,Balance
Ring L Sit Chin Up,Advanced,Biceps,Gymnastic Rings,2.0,,0.0,Upper Body,Pull,Calisthenics
Single Ring L Sit Chin Up,Advanced,Biceps,Gymnastic Rings,1.0,,0.0,Upper Body,Pull,Calisthenics
Single Arm Kettlebell Bottoms Up Single Leg Standing Bent Knee Ipsilateral Overhead Press,Advanced,Shoulders,Kettlebell,1.0,,0.0,Upper Body,Push,Balance
Ring Pelican Curl,Advanced,Biceps,Gymnastic Rings,2.0,,0.0,Upper Body,Pull,Calisthenics
Ring Two Finger Chin Up,Advanced,Biceps,Gymnastic Rings,2.0,,0.0,Upper Body,Pull,Calisthenics
Bodyweight Pseudo Planche Push Up,Advanced,Chest,Bodyweight,1.0,,0.0,Upper Body,Push,Calisthenics
Parallette Pseudo Planche Push Up,Advanced,Chest,Parallette Bars,2.0,,0.0,Upper Body,Push,Calisthenics
Parallette Single Leg Close Grip Push Up,Advanced,Triceps,Parallette Bars,1.0,,0.0,Upper Body,Push,Calisthenics
Single Arm Macebell Single Leg Standing Bent Knee Contralateral 360,Advanced,Shoulders,Macebell,1.0,,0.0,Upper Body,Pull,Balance
Macebell Inside Circle to 360,Advanced,Shoulders,Macebell,1.0,,0.0,Upper Body,Pull,Ballistics
Single Arm Landmine Single Leg Standing Bent Knee Ipsilateral Shoulder Press,Advanced,Shoulders,Landmine,1.0,,0.0,Upper Body,Push,Balance
Single Arm Landmine Single Leg Standing Bent Knee Contralateral Shoulder Press,Advanced,Shoulders,Landmine,1.0,,0.0,Upper Body,Push,Balance
Alternating Single Arm Landmine Single Leg Standing Bent Knee Shoulder Press,Advanced,Shoulders,Landmine,1.0,,0.0,Upper Body,Push,Balance
Macebell Alternating 360 to Pivot Split Squat Uppercut,Advanced,Shoulders,Macebell,1.0,,0.0,Upper Body,Pull,Ballistics
Double Clubbell Single Leg Standing Bent Knee Side Shoulder Cast to Side Flag Press,Advanced,Shoulders,Clubbell,2.0,,0.0,Upper Body,Push & Pull,Unsorted*
Macebell Alternating 360 to Front Flag Press,Advanced,Shoulders,Macebell,1.0,,0.0,Upper Body,Push & Pull,Ballistics
Double Indian Club Crescent Swing,Advanced,Shoulders,Indian Club,2.0,,0.0,Upper Body,Unsorted*,Mobility
Single Arm Macebell Inside Circle to 360,Advanced,Shoulders,Macebell,1.0,,0.0,Upper Body,Pull,Ballistics
Bulgarian Bag Spin,Advanced,Shoulders,Bulgarian Bag,1.0,,0.0,Upper Body,Pull,Unsorted*
Bulgarian Bag Alternating Spin,Advanced,Shoulders,Bulgarian Bag,1.0,,0.0,Upper Body,Pull,Unsorted*
Double Kettlebell Feet Elevated Renegade Row,Advanced,Back,Kettlebell,2.0,Bench (Flat),1.0,Upper Body,Pull,Bodybuilding
Double Kettlebell Feet Elevated Renegade Row to Push Up,Advanced,Back,Kettlebell,2.0,Bench (Flat),1.0,Upper Body,Push & Pull,Bodybuilding
Single Arm Kettlebell Snatch to Overhead Squat,Advanced,Quadriceps,Kettlebell,1.0,,0.0,Full Body,Unsorted*,Ballistics
Barbell Zercher Alternating Reverse Lunge,Advanced,Quadriceps,Barbell,1.0,,0.0,Lower Body,Push,Bodybuilding
Barbell Zercher Alternating Forward Lunge,Advanced,Quadriceps,Barbell,1.0,,0.0,Lower Body,Push,Bodybuilding
Barbell Zercher Walking Lunge,Advanced,Quadriceps,Barbell,1.0,,0.0,Lower Body,Push,Bodybuilding
Barbell Zercher Alternating Lateral Lunge,Advanced,Quadriceps,Barbell,1.0,,0.0,Lower Body,Push,Bodybuilding
Slider Barbell Zercher Lateral Lunge,Advanced,Quadriceps,Sliders,1.0,Barbell,1.0,Lower Body,Push,Bodybuilding
Slider Barbell Zercher Reverse Lunge,Advanced,Quadriceps,Sliders,1.0,Barbell,1.0,Lower Body,Push,Bodybuilding
Suspension Pelican Curl,Advanced,Biceps,Suspension Trainer,1.0,,0.0,Upper Body,Pull,Unsorted*
Bar Archer Pull Up,Advanced,Back,Pull Up Bar,1.0,,0.0,Upper Body,Pull,Calisthenics
Bar False Grip Pull Up,Advanced,Back,Pull Up Bar,1.0,,0.0,Upper Body,Pull,Calisthenics
Bar L Sit Chin Up,Advanced,Biceps,Pull Up Bar,1.0,,0.0,Upper Body,Pull,Calisthenics
Bar L Sit Pull Up,Advanced,Back,Pull Up Bar,1.0,,0.0,Upper Body,Pull,Calisthenics
Bar Tuck Back Lever with Alternating Single Leg Extensions,Advanced,Abdominals,Pull Up Bar,1.0,,0.0,Upper Body,Other,Calisthenics
Bar Tuck Front Lever with Alternating Single Leg Extensions,Advanced,Abdominals,Pull Up Bar,1.0,,0.0,Upper Body,Other,Calisthenics
Barbell Squat Clean to Push Press,Expert,Shoulders,Barbell,1.0,,0.0,Full Body,Push & Pull,Olympic Weightlifting
Barbell Squat Clean to Overhead Press,Expert,Shoulders,Barbell,1.0,,0.0,Full Body,Push & Pull,Olympic Weightlifting
Barbell Power Clean to Front Rack Squat,Expert,Quadriceps,Barbell,1.0,,0.0,Full Body,Push & Pull,Olympic Weightlifting
Barbell Hang Power Clean to Front Rack Squat,Advanced,Quadriceps,Barbell,1.0,,0.0,Full Body,Push & Pull,Olympic Weightlifting
Barbell Hang Power Clean to Split Jerk,Advanced,Shoulders,Barbell,1.0,,0.0,Full Body,Push & Pull,Olympic Weightlifting
Barbell Hang Power Clean to Push Jerk,Advanced,Shoulders,Barbell,1.0,,0.0,Full Body,Push & Pull,Olympic Weightlifting
Barbell Hang Power Clean to Push Press,Advanced,Shoulders,Barbell,1.0,,0.0,Full Body,Push & Pull,Olympic Weightlifting
Barbell Hang Power Clean to Overhead Press,Advanced,Shoulders,Barbell,1.0,,0.0,Full Body,Push & Pull,Olympic Weightlifting
Barbell Hang Squat Clean to Split Jerk,Advanced,Shoulders,Barbell,1.0,,0.0,Full Body,Push & Pull,Olympic Weightlifting
Barbell Hang Squat Clean to Push Jerk,Advanced,Shoulders,Barbell,1.0,,0.0,Full Body,Push & Pull,Olympic Weightlifting
Barbell Hang Squat Clean to Push Press,Advanced,Shoulders,Barbell,1.0,,0.0,Full Body,Push & Pull,Olympic Weightlifting
Barbell Hang Squat Clean to Overhead Press,Advanced,Shoulders,Barbell,1.0,,0.0,Full Body,Push & Pull,Olympic Weightlifting
Double Kettlebell Clean to Front Rack Squat,Intermediate,Quadriceps,Kettlebell,2.0,,0.0,Full Body,Unsorted*,Ballistics
Double Kettlebell Clean to Push Press,Intermediate,Shoulders,Kettlebell,2.0,,0.0,Full Body,Unsorted*,Ballistics
Double Kettlebell Clean to Front Rack Alternating Forward Lunge,Intermediate,Quadriceps,Kettlebell,2.0,,0.0,Full Body,Unsorted*,Ballistics
Double Kettlebell Glute Bridge Isometric Bench Press,Novice,Chest,Kettlebell,2.0,Bench (Flat),1.0,Full Body,Push,Bodybuilding
Slider Archer Push Up,Advanced,Chest,Sliders,1.0,,0.0,Upper Body,Push,Unsorted*
Suspension Archer Push Up,Advanced,Chest,Suspension Trainer,1.0,,0.0,Upper Body,Push,Unsorted*
Superband Chaos Push Up,Advanced,Chest,Superband,1.0,,0.0,Upper Body,Push,Unsorted*
Bodyweight Pivot Split Squat,Novice,Quadriceps,Bodyweight,1.0,,0.0,Lower Body,Push,Bodybuilding
Single Arm Kettlebell Clean to Thruster,Intermediate,Shoulders,Kettlebell,1.0,,0.0,Full Body,Unsorted*,Unsorted*
Single Arm Kettlebell Clean to Push Press,Intermediate,Shoulders,Kettlebell,1.0,,0.0,Full Body,Unsorted*,Ballistics
